country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Austria,AT,AUT,8858775,05/10/2020,488,101,Country_Website
Belgium,BE,BEL,11455519,05/10/2020,937,195,Country_Website
Bulgaria,BG,BGR,7000039,05/10/2020,917,56,External_Github
Croatia,HR,HRV,4076246,05/10/2020,326,,Country_Website
Czechia,CZ,CZE,10649800,05/10/2020,1387,326,Country_Website
Denmark,DK,DNK,5806081,05/10/2020,120,17,Country_Website
Estonia,EE,EST,1324820,05/10/2020,40,5,Country_API
Finland,FI,FIN,5517919,05/10/2020,28,8,External_Github
France,FR,FRA,67012883,05/10/2020,7276,1409,Country_Website
Hungary,HU,HUN,9772756,05/10/2020,649,40,JRC
Ireland,IE,IRL,4904240,05/10/2020,150,23,Country_Website
Italy,IT,ITA,60359546,05/10/2020,3810,323,Country_Github
